,stock,material,descripcion,tipoMaterial,umb,mat,sm,grupo,jerarquia,numerofab,fabricante,extension,creado,modificado
16617,71000512533,91000020338,"BEARING, BALL, THRUST",HERS,ST,,,31171504,,6047096 046,WORTH-TU,,2016-04-27,2022-10-01
16618,71000512541,91000020339,"BEARING, BALL, THRUST",HERS,ST,,,31171504,,W611998,WORTH-TU,,2016-04-27,2022-10-01
16619,71000512558,91000020340,"BEARING, BALL, THRUST",HERS,ST,,,31171504,,612001,WORTH-TU,,2016-04-27,2022-10-01
16620,71000512566,91000020341,"BALL, BEARING",HERS,ST,,,31121304,,61-2116,WORTH-TU,,2016-04-27,
16621,71000512574,91000020342,BELLOW,HERS,ST,,,26101506,,61-1861,WORTH-TU,,2016-04-27,2022-10-07
16622,71000512582,91000020343,BUSHING,HERS,ST,,,311716,,T 61796,WORTH-TU,,2016-04-27,
16623,71000512590,91000020344,BUSHING,HERS,ST,,,311716,,61-2035,WORTH-TU,,2016-04-27,
16624,71000512608,91000020345,BUSHING,HERS,ST,,,311716,,61-2036,WORTH-TU,,2016-04-27,
16625,71000512616,91000020346,BUSHING,HERS,ST,,,311716,,T613137,WORTH-TU,,2016-04-27,
16626,71000512624,91000020347,BUSHING,HERS,ST,,,311716,,T 641684,WORTH-TU,,2016-04-27,
16627,71000512632,91000020348,BUSHING,HERS,ST,,,311716,,64-1962,WORTH-TU,,2016-04-27,
16628,71000512640,91000020349,BUSHING,HERS,ST,,,311716,,64-1963,WORTH-TU,,2016-04-27,
16629,71000512657,91000020350,"COUPLING, SHAFT, FLEXIBLE",HERS,ST,,,31163013,,64-9059,WORTH-TU,,2016-04-27,
16630,71000512665,91000020351,"DIAPHRAGM, PUMP",HERS,ST,,,40141737,,1F-7024,WORTH-TU,,2016-04-27,2022-10-03
16631,71000512673,91000020352,"DIAPHRAGM, PUMP",HERS,ST,,,40141737,,1F-7025,WORTH-TU,,2016-04-27,2022-10-03
16632,71000512681,91000020353,FILTER,HERS,ST,,,401615,,62-821,WORTH-TU,,2016-04-27,
16633,71000512707,91000020355,"GUIDE, VALVE STEM",HERS,ST,,,40141616,,64-2014,WORTH-TU,,2016-04-27,
16634,71000512715,91000020356,"BUSHING, SLEEVE",HERS,ST,,,311716,,1C-9857,WORTH-TU,,2016-04-27,
16635,71000512723,91000020357,"KEY, LOCK",HERS,ST,,,311632,,T-641972,WORTH-TU,,2016-04-27,
16636,71000512731,91000020358,"KEY, WOODRUFF",HERS,ST,,,311632,,62-2247,WORTH-TU,,2016-04-27,
16637,71000512749,91000020359,"SEAL RING ASSEMBLY, LABYRINTH",HERS,ST,,,314119,,642389,WORTH-TU,,2016-04-27,2022-11-01
16638,71000512756,91000020360,"SEAL RING ASSEMBLY, LABYRINTH",HERS,ST,,,314119,,T642401,WORTH-TU,,2016-04-27,2022-11-01
16639,71000512756,91000020361,"SEAL RING ASSEMBLY, LABYRINTH",HERS,ST,,,314119,,W6073897-022,WORTH-TU,,2016-04-27,2022-11-01
16640,71000512764,91000020362,"NUT, SELF-LOCKING, HEXAGON",HERS,ST,,,311617,,27-630508,WORTH-TU,,2016-04-27,
16641,71000512772,91000020363,PAD MOUNTING,HERS,ST,,,261017,,W1000291772,WORTH-TU,,2016-04-27,
16642,71000512772,91000020364,PAD MOUNTING,HERS,ST,,,261017,,W6047896-040,WORTH-TU,,2016-04-27,
16643,71000512780,91000020365,PAD,HERS,ST,,,261017,,64-9443,WORTH-TU,,2016-04-27,
16644,71000512780,91000020366,PAD,HERS,ST,,,261017,,W1000291771,WORTH-TU,,2016-04-27,
16645,71000512798,91000020367,PAD,HERS,ST,,,261017,,64-9818,WORTH-TU,,2016-04-27,
16646,71000512798,91000020368,PAD,HERS,ST,,,261017,,W1000291770,WORTH-TU,,2016-04-27,
16647,71000512806,91000020369,PAD,HERS,ST,,,261017,,64-9820,WORTH-TU,,2016-04-27,
16648,71000512822,91000020372,"PIN, STRAIGHT",HERS,ST,,,31163214,,61-1620,WORTH-TU,,2016-04-27,
16649,71000512848,91000020374,"PIN, STRAIGHT",HERS,ST,,,31163214,,61-1989,WORTH-TU,,2016-04-27,
16650,71000512863,91000020376,SPINDLE,HERS,ST,,,261017,,62-2250,WORTH-TU,,2016-04-27,
16651,71000512871,91000020377,"PIN, STRAIGHT",HERS,ST,,,31163214,,62-2252,WORTH-TU,,2016-04-27,
16652,71000512889,91000020378,"PIN, TRIP, ASSEMBLY",HERS,ST,,,311632,,64-10045,WORTH-TU,,2016-04-27,
16653,71000512897,91000020379,PISTON,HERS,ST,,,26101736,,62-2255,WORTH-TU,,2016-04-27,
16654,71000512905,91000020380,"PLUG, VALVE",HERS,ST,,,40141616,,1C-5405,WORTH-TU,,2016-04-27,
16655,71000512913,91000020381,"PLUG, VALVE",HERS,ST,,,40141616,,2Q-14596,WORTH-TU,,2016-04-27,
16656,71000512921,91000020382,COUPLING,HERS,ST,,,311630,,64-1974,WORTH-TU,,2016-04-27,
16657,71000512939,91000020383,"RING, PISTON",HERS,ST,,,26101727,,64-1867,WORTH-TU,,2016-04-27,
16658,71000512947,91000020384,"RING, RETAINING",HERS,ST,,,31163202,,20651201,WORTH-TU,,2016-04-27,2019-05-14
16659,71000512954,91000020385,"RING, RETAINING",HERS,ST,,,31163202,,W611978,WORTH-TU,,2016-04-27,
